bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
7.50000000000000000e+01,8.00000000000000000e+01,1.52335011311954918e+03,2.31836146443165312e+01,1.31678433538165336e+03,1.73547643004339216e+03
8.00000000000000000e+01,8.50000000000000000e+01,1.55543801579878732e+03,2.43077146213765438e+01,1.34294052565747779e+03,1.77392746822884897e+03
8.50000000000000000e+01,9.00000000000000000e+01,1.56960392412944861e+03,2.35445601240187479e+01,1.34839392208410550e+03,1.80329792595354706e+03
9.00000000000000000e+01,9.50000000000000000e+01,1.50846589491678674e+03,2.30204274024986368e+01,1.30025653176277820e+03,1.72342744179996612e+03
9.50000000000000000e+01,1.00000000000000000e+02,1.46495197981208298e+03,2.33848835865449765e+01,1.26956312023545388e+03,1.65855028070176991e+03
1.00000000000000000e+02,1.05000000000000000e+02,1.42286677398766096e+03,2.24583384883496642e+01,1.22801435741807245e+03,1.62054818346764546e+03
1.05000000000000000e+02,1.10000000000000000e+02,1.31758379339395515e+03,2.08992248334550261e+01,1.14389339829573623e+03,1.48671851538512874e+03
1.10000000000000000e+02,1.15000000000000000e+02,1.28557977485516744e+03,2.00692951259228280e+01,1.11619199863527592e+03,1.44911981354737327e+03
1.15000000000000000e+02,1.20000000000000000e+02,1.24004650920255790e+03,1.97068606292429180e+01,1.07606480119355433e+03,1.39908791446634723e+03
1.20000000000000000e+02,1.25000000000000000e+02,1.21489877538766541e+03,1.90043674024759355e+01,1.04948094757860167e+03,1.37943787639197762e+03
1.25000000000000000e+02,1.30000000000000000e+02,1.10873774866124745e+03,1.84694934017805608e+01,9.63075109654570724e+02,1.24696864002818961e+03
1.30000000000000000e+02,1.35000000000000000e+02,1.04678965005596046e+03,1.70453629898265930e+01,9.17081761021109514e+02,1.15965279989438454e+03
1.35000000000000000e+02,1.40000000000000000e+02,9.95239240193209071e+02,1.69114704265879894e+01,8.67542913302788179e+02,1.11121188609627643e+03
1.40000000000000000e+02,1.45000000000000000e+02,9.26074250446593851e+02,1.58733043160500831e+01,8.09198540795930285e+02,1.02945593363247485e+03
1.45000000000000000e+02,1.50000000000000000e+02,8.70212601267561467e+02,1.53327633735566042e+01,7.61587999114907234e+02,9.63766781314984996e+02
1.50000000000000000e+02,1.55000000000000000e+02,7.90357524770027680e+02,1.40549210265555313e+01,6.89536733346199753e+02,8.79806951942797923e+02
1.55000000000000000e+02,1.60000000000000000e+02,7.39604804015635523e+02,1.32758450720416352e+01,6.46520726504812274e+02,8.20420874845703224e+02
1.60000000000000000e+02,1.65000000000000000e+02,7.03267364057450777e+02,1.30404114707121810e+01,6.16391177474065671e+02,7.75561728480860211e+02
1.65000000000000000e+02,1.70000000000000000e+02,6.22323373807212874e+02,1.17452111396520422e+01,5.50846087317003708e+02,6.74458952370179645e+02
1.70000000000000000e+02,1.75000000000000000e+02,5.86367310591170735e+02,1.10106824041286888e+01,5.17538551425253218e+02,6.38307410718124629e+02
1.75000000000000000e+02,1.80000000000000000e+02,5.51426670621064659e+02,1.06519125948062250e+01,4.85044681792651431e+02,6.03373128018695525e+02
1.80000000000000000e+02,1.85000000000000000e+02,5.10131999798530046e+02,9.92011488132775554e+00,4.50587017194988391e+02,5.53531734541052174e+02
1.85000000000000000e+02,1.90000000000000000e+02,4.74334149421124380e+02,9.54186565802534403e+00,4.17241923830201131e+02,5.18270241340891971e+02
1.90000000000000000e+02,1.95000000000000000e+02,4.16851943670358196e+02,8.63210717889557699e+00,3.69839808154825334e+02,4.48318591073014090e+02
1.95000000000000000e+02,2.00000000000000000e+02,4.00678206519157243e+02,8.17167464295054558e+00,3.56030743924914589e+02,4.29368723067300380e+02
2.00000000000000000e+02,2.05000000000000000e+02,3.66611501408625145e+02,7.71691738116168935e+00,3.24286400017968447e+02,3.95710885560941051e+02
2.05000000000000000e+02,2.10000000000000000e+02,3.33179051447231586e+02,7.23222846800352581e+00,2.96082589393879573e+02,3.56230987740014882e+02
2.10000000000000000e+02,2.15000000000000000e+02,2.95063238466743542e+02,6.49043851285934537e+00,2.64803502551623410e+02,3.09652991889968916e+02
2.15000000000000000e+02,2.20000000000000000e+02,2.84673732274429426e+02,6.33105601471658108e+00,2.53531983717865472e+02,3.02827877161174342e+02
2.20000000000000000e+02,2.25000000000000000e+02,2.47352099347982175e+02,6.03077896939997338e+00,2.23262767355584714e+02,2.56334996818630202e+02
