bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
7.31666666666666629e+02,7.43333333333333258e+02,1.00477104885268147e+02,2.32750819116598029e+00,8.70290038611910717e+01,1.11058125441432111e+02
7.43333333333333258e+02,7.54999999999999886e+02,8.76861308548429150e+01,2.12593925442057241e+00,7.68313294161692966e+01,9.47933240648474822e+01
7.55000000000000000e+02,7.66666666666666629e+02,7.95173990551297578e+01,1.98895003079377153e+00,7.00405895638003955e+01,8.50279531566080493e+01
7.66666666666666629e+02,7.78333333333333258e+02,7.56146912407401430e+01,1.84924242818300422e+00,6.63990389816272142e+01,8.11829087930722011e+01
7.78333333333333258e+02,7.89999999999999886e+02,6.97525741532316914e+01,1.83949596077430222e+00,6.10315354536299282e+01,7.53541792021121353e+01
7.90000000000000000e+02,8.01666666666666629e+02,6.33642463259467448e+01,1.70329232593815871e+00,5.57244230916387693e+01,6.77313116779263993e+01
8.01666666666666629e+02,8.13333333333333258e+02,5.74949256889548863e+01,1.61081424269047546e+00,5.07036439411040902e+01,6.10712533775761415e+01
8.13333333333333258e+02,8.24999999999999886e+02,5.33932229036137045e+01,1.54600456434110112e+00,4.69980950485091640e+01,5.68339294962773707e+01
8.25000000000000000e+02,8.36666666666666629e+02,5.10743457994386034e+01,1.41267224395646207e+00,4.49298660407301682e+01,5.43424062968501573e+01
8.36666666666666629e+02,8.48333333333333258e+02,4.42499891042517106e+01,1.40547646356866252e+00,3.92633097168232084e+01,4.62811854903882960e+01
8.48333333333333258e+02,8.59999999999999886e+02,4.25241380947675012e+01,1.24380637958562401e+00,3.72680798467380399e+01,4.55027442132303435e+01
8.60000000000000000e+02,8.71666666666666629e+02,3.81582170873069302e+01,1.25479501323629639e+00,3.37297663495740991e+01,4.01266915037624798e+01
8.71666666666666629e+02,8.83333333333333258e+02,3.45806525519906671e+01,1.05528177470340290e+00,3.06435918781701631e+01,3.61353441644523343e+01
8.83333333333333258e+02,8.94999999999999886e+02,3.26538704424350996e+01,1.05157075299957681e+00,2.89015370236507607e+01,3.41724679987712179e+01
8.95000000000000000e+02,9.06666666666666629e+02,3.03346527969686015e+01,9.51926429509537875e-01,2.69454608075861017e+01,3.14837856368123283e+01
9.06666666666666629e+02,9.18333333333333258e+02,2.79140941410405397e+01,9.02858200383487852e-01,2.48303729697587094e+01,2.88262367790273295e+01
9.18333333333333258e+02,9.29999999999999886e+02,2.73967544124493578e+01,8.01409834968660695e-01,2.38937826598492400e+01,2.94211688633058195e+01
9.30000000000000000e+02,9.41666666666666629e+02,2.31942436488983397e+01,8.95920918180264980e-01,2.08073441831217316e+01,2.34992993788808917e+01
9.41666666666666629e+02,9.53333333333333258e+02,2.22999141642017840e+01,7.92689916440117992e-01,1.97309246021458726e+01,2.32141453944852643e+01
9.53333333333333258e+02,9.64999999999999886e+02,2.04081187170360678e+01,7.31334483711549965e-01,1.81179079731878936e+01,2.10902326741675026e+01
9.65000000000000000e+02,9.76666666666666629e+02,1.98973653018273531e+01,6.20295960828163295e-01,1.75214046982736740e+01,2.08695740006265389e+01
9.76666666666666629e+02,9.88333333333333258e+02,1.77390741075515770e+01,6.97138900627102709e-01,1.56890736190099744e+01,1.84350392756302170e+01
9.88333333333333258e+02,9.99999999999999886e+02,1.61438317709108006e+01,6.46747399162040826e-01,1.45039682940750634e+01,1.62033307642050133e+01
