component	value_fb	standard_error_fb	source	artifact_only	has_histogram
LO	1.49039611884176411e+05	3.91351083726592947e+02	local Monte Carlo (analytic Born)	0	1
RA	-5.31826111214702632e+03	1.25333044528322603e+02	/Users/mahdihoumani/Documents/Work/CataniSeymour/cs_ppttb/validation/scale_variations/local_ra_integral_ytt_mt173_mu_1p0mt_100k.txt	1	1
CA	8.99793313386604277e+04	3.67831752048176554e+02	local Monte Carlo (analytic collinear counterterm)	0	1
VA	-1.30808205535911857e+04	2.63563761880884613e+01	local Monte Carlo (analytic virtual+integrated dipoles)	0	1
NLO	2.20619861557098629e+05	5.52140289387866119e+02	assembled	0	1
