bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
-2.39999999999999991e+00,-2.29999999999999982e+00,1.20245741853105687e+03,3.08039518364731215e+01,9.15441352086481970e+02,1.62606504373403868e+03
-2.29999999999999982e+00,-2.19999999999999973e+00,2.03336271530706540e+03,4.84512157160386323e+01,1.54180919044094594e+03,2.76009200002251464e+03
-2.19999999999999973e+00,-2.09999999999999964e+00,3.26536837758014872e+03,7.26823675974973042e+01,2.47406954757103404e+03,4.43141886853664801e+03
-2.10000000000000009e+00,-2.00000000000000000e+00,4.83770115096057634e+03,1.01247532482800679e+02,3.67100683471796265e+03,6.54820649383319687e+03
-2.00000000000000000e+00,-1.89999999999999991e+00,6.74757160104835020e+03,1.35198764839478628e+02,5.12869757286260392e+03,9.10985620289300095e+03
-1.89999999999999991e+00,-1.79999999999999982e+00,9.00452274064215999e+03,1.73323810723082261e+02,6.85372608693880375e+03,1.21308824684176343e+04
-1.79999999999999982e+00,-1.69999999999999973e+00,1.09834840035016077e+04,2.10001130261451067e+02,8.37885059664231085e+03,1.47538254982289454e+04
-1.69999999999999996e+00,-1.59999999999999987e+00,1.40988699063858367e+04,2.58419285271970978e+02,1.07692558609275329e+04,1.89068176474945612e+04
-1.59999999999999987e+00,-1.49999999999999978e+00,1.73742601895206681e+04,3.07718696529382612e+02,1.32708465862613029e+04,2.32952885485711704e+04
-1.49999999999999978e+00,-1.39999999999999969e+00,2.14384685546751280e+04,3.67811926106378337e+02,1.63842426903082924e+04,2.87230624692338279e+04
-1.39999999999999991e+00,-1.29999999999999982e+00,2.38662168509657713e+04,4.12246186918562273e+02,1.82476172231987875e+04,3.19581485970196554e+04
-1.29999999999999982e+00,-1.19999999999999973e+00,2.74731731952815244e+04,4.67055671093058322e+02,2.10003411587351693e+04,3.67956379157290721e+04
-1.19999999999999973e+00,-1.09999999999999964e+00,3.10246704884923893e+04,5.23932595932038566e+02,2.37218528131114581e+04,4.15362188282521674e+04
-1.09999999999999987e+00,-9.99999999999999889e-01,3.70185081570329785e+04,6.05307963383645870e+02,2.83038616556968373e+04,4.95568809646264563e+04
-9.99999999999999778e-01,-8.99999999999999800e-01,3.97790020460428714e+04,6.47754211657411929e+02,3.03768374905393139e+04,5.33257743756765121e+04
-8.99999999999999800e-01,-7.99999999999999822e-01,4.42148844512751602e+04,7.09101144963232855e+02,3.37621046249261562e+04,5.92759989152583803e+04
-7.99999999999999822e-01,-6.99999999999999845e-01,4.68946095577997767e+04,7.56678482224014033e+02,3.58264348085381571e+04,6.28310780919009921e+04
-6.99999999999999845e-01,-5.99999999999999867e-01,5.07190264318340487e+04,8.08377367763747429e+02,3.87125578224264682e+04,6.80284991954727302e+04
-5.99999999999999867e-01,-4.99999999999999889e-01,5.46205220820977775e+04,8.60784783979884651e+02,4.16761342428141070e+04,7.32939597474026668e+04
-4.99999999999999778e-01,-3.99999999999999800e-01,5.58584897166626324e+04,8.82665781189991549e+02,4.25866978361765432e+04,7.50279165932599572e+04
-3.99999999999999800e-01,-2.99999999999999822e-01,5.87200062727745462e+04,9.25678807922280953e+02,4.47756719828745991e+04,7.88579764230485016e+04
-2.99999999999999822e-01,-1.99999999999999817e-01,6.03678335531501434e+04,9.44375940570070838e+02,4.60004004524819611e+04,8.11396368988005852e+04
-1.99999999999999789e-01,-9.99999999999997835e-02,6.16194951540201873e+04,9.67300963503791081e+02,4.69420787888172636e+04,8.28485185198644758e+04
-9.99999999999997835e-02,2.22044604925031308e-16,6.31322375561153822e+04,9.82498551532250303e+02,4.81068667122487605e+04,8.48586206112348300e+04
2.22044604925031308e-16,1.00000000000000228e-01,6.28774389795433672e+04,9.80997985205149121e+02,4.78925627311063290e+04,8.45564541754002130e+04
1.00000000000000228e-01,2.00000000000000233e-01,6.09410294433656309e+04,9.67204900050004539e+02,4.64136093674098447e+04,8.19587334074224782e+04
2.00000000000000233e-01,3.00000000000000266e-01,6.09074650557537607e+04,9.55210659453031553e+02,4.64196702881724559e+04,8.18471566899703030e+04
3.00000000000000266e-01,4.00000000000000244e-01,5.72478563433354648e+04,9.15589577109041102e+02,4.36222136280996929e+04,7.69430366069846932e+04
4.00000000000000244e-01,5.00000000000000222e-01,5.50848767940089238e+04,8.79143416904778519e+02,4.20051638419160154e+04,7.39707491439144069e+04
5.00000000000000222e-01,6.00000000000000200e-01,5.27906984763337387e+04,8.40687398836668308e+02,4.02751620382858091e+04,7.08490588940251473e+04
6.00000000000000311e-01,7.00000000000000289e-01,5.06537124883739743e+04,8.09066716576545218e+02,3.86597667690482776e+04,6.79457663775896654e+04
7.00000000000000289e-01,8.00000000000000266e-01,4.72043913758563504e+04,7.55089838111121821e+02,3.60402337188409001e+04,6.32944224518031915e+04
8.00000000000000266e-01,9.00000000000000244e-01,4.26362647491844109e+04,6.95809226137016481e+02,3.25703823824232422e+04,5.71322442299161776e+04
9.00000000000000244e-01,1.00000000000000022e+00,4.06715761667095067e+04,6.60720564721390474e+02,3.10822380606571642e+04,5.44738237810805658e+04
1.00000000000000022e+00,1.10000000000000031e+00,3.62516136759527872e+04,5.94566001664644205e+02,2.77104312127434569e+04,4.85453159028703521e+04
1.10000000000000031e+00,1.20000000000000040e+00,3.17543695909269554e+04,5.30865520211754756e+02,2.42752517417864656e+04,4.25209877583065390e+04
1.20000000000000018e+00,1.30000000000000027e+00,2.84769169746736225e+04,4.78582880137613586e+02,2.17741413979228855e+04,3.81256468220789393e+04
1.30000000000000027e+00,1.40000000000000036e+00,2.43005838730793439e+04,4.17057126069904143e+02,1.85836654270397885e+04,3.25316229913486968e+04
1.40000000000000036e+00,1.50000000000000044e+00,2.05032193557867868e+04,3.57633489741462711e+02,1.56727892260542139e+04,2.74652302723621106e+04
1.50000000000000022e+00,1.60000000000000031e+00,1.70833186699383768e+04,3.06688601504878250e+02,1.30542970842847863e+04,2.28947712373049362e+04
1.60000000000000031e+00,1.70000000000000040e+00,1.43050471030665794e+04,2.59852807547472594e+02,1.09229101426284124e+04,1.91916045269802489e+04
1.70000000000000040e+00,1.80000000000000049e+00,1.14793712487693101e+04,2.14017029397812195e+02,8.75318898262560651e+03,1.54280375857346207e+04
1.80000000000000027e+00,1.90000000000000036e+00,8.81691599947697432e+03,1.70872704765418916e+02,6.71394073468436727e+03,1.18726445436047961e+04
1.90000000000000036e+00,2.00000000000000044e+00,6.69994649884108549e+03,1.34182668512629988e+02,5.09018385902446880e+03,9.05037953726934211e+03
2.00000000000000044e+00,2.10000000000000053e+00,4.66800993258485141e+03,9.91240984842720252e+01,3.53947645488141598e+03,6.32438344483948822e+03
2.10000000000000053e+00,2.20000000000000062e+00,3.33285730965762014e+03,7.32254342684178141e+01,2.52464095152993923e+03,4.52456972290612975e+03
2.20000000000000018e+00,2.30000000000000027e+00,2.03171006458760030e+03,4.87556315335609867e+01,1.54053784655543359e+03,2.75781534201536988e+03
