component	value_fb	standard_error_fb	source	artifact_only	has_histogram
LO	1.46953219665376324e+05	3.87984119869399501e+03	local Monte Carlo (analytic Born)	0	1
RA	-5.27217796472052578e+03	1.24132041618725822e+02	/Users/mahdihoumani/Documents/Work/CataniSeymour/cs_ppttb/validation/local_ra_integral_all_channels_100k_refresh.txt	1	0
CA	8.92732205644523638e+04	3.54716310315204464e+03	local Monte Carlo (analytic collinear counterterm)	0	1
VA	-1.30149359527313172e+04	2.58409253861299646e+02	local Monte Carlo (analytic virtual+integrated dipoles)	0	1
NLO	2.17939326312376856e+05	5.26476190474783834e+03	assembled	0	0
