bin_low_gev,bin_high_gev,value,error,scale_low,scale_high
9.00000000000000000e+01,9.50000000000000000e+01,1.50086806466772464e+03,2.30556883720077614e+01,1.29492567329460007e+03,1.71224875041118617e+03
9.50000000000000000e+01,1.00000000000000000e+02,1.45814647660814217e+03,2.35083654079601203e+01,1.26498701668409922e+03,1.64806503434097931e+03
1.00000000000000000e+02,1.05000000000000000e+02,1.41869716300755636e+03,2.25574885446609947e+01,1.22533149005595078e+03,1.61380219270566363e+03
1.05000000000000000e+02,1.10000000000000000e+02,1.32647846081390935e+03,2.08346935898297616e+01,1.15023087462895751e+03,1.49953930908955908e+03
1.10000000000000000e+02,1.15000000000000000e+02,1.28803865295628725e+03,2.00094929510704453e+01,1.11777696303740004e+03,1.45308775613604985e+03
1.15000000000000000e+02,1.20000000000000000e+02,1.23461885272477639e+03,1.98725602626939803e+01,1.07237742221602502e+03,1.39080770020896671e+03
1.20000000000000000e+02,1.25000000000000000e+02,1.20742166841048379e+03,1.91995337667846115e+01,1.04462675280690132e+03,1.36746230019597624e+03
1.25000000000000000e+02,1.30000000000000000e+02,1.10933341858593826e+03,1.84423427525544632e+01,9.63442789752187309e+02,1.24797016116240979e+03
1.30000000000000000e+02,1.35000000000000000e+02,1.05382162397895922e+03,1.68797291717483589e+01,9.21893338127048082e+02,1.17031541135127532e+03
1.35000000000000000e+02,1.40000000000000000e+02,9.91439945297006943e+02,1.69156401351613859e+01,8.64914452464346255e+02,1.10556244599169463e+03
1.40000000000000000e+02,1.45000000000000000e+02,9.23520050614079764e+02,1.57844630795942429e+01,8.07738647133166751e+02,1.02483864101414110e+03
1.45000000000000000e+02,1.50000000000000000e+02,8.74585556448758098e+02,1.52408812180412241e+01,7.64325115631032304e+02,9.71068765077354897e+02
1.50000000000000000e+02,1.55000000000000000e+02,7.87009041736759059e+02,1.41970926611870052e+01,6.87565699315420261e+02,8.73919993866193863e+02
1.55000000000000000e+02,1.60000000000000000e+02,7.42496235060525919e+02,1.31311997842261210e+01,6.48407777103545982e+02,8.25039251180217093e+02
1.60000000000000000e+02,1.65000000000000000e+02,7.08791077464729369e+02,1.30106840454910966e+01,6.20219047321139556e+02,7.83808200196880989e+02
1.65000000000000000e+02,1.70000000000000000e+02,6.29340946100995097e+02,1.16753671930565801e+01,5.55613632265298406e+02,6.85162867850046837e+02
1.70000000000000000e+02,1.75000000000000000e+02,5.97069641812488726e+02,1.07581534572055233e+01,5.24848934224768868e+02,6.54544668147143284e+02
1.75000000000000000e+02,1.80000000000000000e+02,5.53755750949874141e+02,1.06552433629683261e+01,4.86708865821935376e+02,6.06717480705014168e+02
1.80000000000000000e+02,1.85000000000000000e+02,5.14163706515121362e+02,9.95122857335584854e+00,4.53347213509646110e+02,5.59621203630647415e+02
1.85000000000000000e+02,1.90000000000000000e+02,4.76030381986141720e+02,9.48912864906417219e+00,4.18645111276834314e+02,5.20217269543158181e+02
1.90000000000000000e+02,1.95000000000000000e+02,4.25102344626421541e+02,8.32145702696810652e+00,3.75343354209944721e+02,4.61167933794219266e+02
1.95000000000000000e+02,2.00000000000000000e+02,3.89947969020371374e+02,8.29582702611354783e+00,3.49015645600049027e+02,4.12278123783456635e+02
2.00000000000000000e+02,2.05000000000000000e+02,3.68460616258941400e+02,7.87732482838909931e+00,3.25465166984135919e+02,3.98763272196091407e+02
2.05000000000000000e+02,2.10000000000000000e+02,3.32375678202858865e+02,7.17755966585179284e+00,2.95369644805223231e+02,3.55451807055325276e+02
2.10000000000000000e+02,2.15000000000000000e+02,2.97077645148802617e+02,6.55030504738940156e+00,2.66106725197953097e+02,3.12922692149419959e+02
2.15000000000000000e+02,2.20000000000000000e+02,2.85693069156439833e+02,6.39451810952747390e+00,2.54270260518373817e+02,3.04266271826730190e+02
2.20000000000000000e+02,2.25000000000000000e+02,2.49341560171029357e+02,5.92089769304004765e+00,2.24725719841897870e+02,2.59066705662468735e+02
2.25000000000000000e+02,2.30000000000000000e+02,2.27659126826253754e+02,5.41269344990065004e+00,2.04648494213080426e+02,2.37650962147718474e+02
2.30000000000000000e+02,2.35000000000000000e+02,2.21648727469580990e+02,5.36223776696952470e+00,1.98943198845275077e+02,2.31633830840995330e+02
2.35000000000000000e+02,2.40000000000000000e+02,1.99023991640812710e+02,4.93844057288055804e+00,1.79544757829532983e+02,2.06036879646379958e+02
2.40000000000000000e+02,2.45000000000000000e+02,1.79337806302443255e+02,4.65559074356532587e+00,1.62192043533254264e+02,1.84549223743763577e+02
2.45000000000000000e+02,2.50000000000000000e+02,1.69591625387702067e+02,4.30326341769053933e+00,1.53538012919110031e+02,1.74024017803678760e+02
2.50000000000000000e+02,2.55000000000000000e+02,1.46695987467957565e+02,3.89866569343749836e+00,1.33075230263255150e+02,1.49906329069661723e+02
2.55000000000000000e+02,2.60000000000000000e+02,1.31888268458290867e+02,3.47461787656159204e+00,1.20924034576052463e+02,1.31888268458290867e+02
2.60000000000000000e+02,2.65000000000000000e+02,1.24985501986707575e+02,3.68782669249402595e+00,1.14892585445704540e+02,1.24985501986707575e+02
2.65000000000000000e+02,2.70000000000000000e+02,1.07533719113592127e+02,3.27056027023623264e+00,9.99768636350512736e+01,1.07533719113592127e+02
2.70000000000000000e+02,2.75000000000000000e+02,1.06668271803472578e+02,3.15239330837862974e+00,9.73476096638213022e+01,1.07274829222552853e+02
2.75000000000000000e+02,2.80000000000000000e+02,9.35560156560130451e+01,3.03805071967252571e+00,8.63071761307315199e+01,9.35560156560130451e+01
2.80000000000000000e+02,2.85000000000000000e+02,8.73834591543233756e+01,2.81564297740066705e+00,8.08122392547955570e+01,8.73834591543233756e+01
2.85000000000000000e+02,2.90000000000000000e+02,7.92919628931645519e+01,2.88402722035974257e+00,7.42280073025991527e+01,7.92919628931645519e+01
2.90000000000000000e+02,2.95000000000000000e+02,7.20250014489259769e+01,2.83914381018261164e+00,6.71797809841703497e+01,7.20250014489259769e+01
2.95000000000000000e+02,3.00000000000000000e+02,6.43668189296248698e+01,2.48028721708428268e+00,5.96635448042488434e+01,6.43668189296248698e+01
3.00000000000000000e+02,3.05000000000000000e+02,5.98014638046785976e+01,2.37174720061932609e+00,5.58188550039140026e+01,5.98014638046785976e+01
3.05000000000000000e+02,3.10000000000000000e+02,5.33653395233595873e+01,2.42368402946852424e+00,4.86930655807332471e+01,5.33653395233595873e+01
3.10000000000000000e+02,3.15000000000000000e+02,4.93454608851779710e+01,2.07698089230355043e+00,4.50298602575398164e+01,4.93454608851779710e+01
3.15000000000000000e+02,3.20000000000000000e+02,4.59049098933221700e+01,1.70675706735300392e+00,4.14242546413719310e+01,4.59049098933221700e+01
3.20000000000000000e+02,3.25000000000000000e+02,4.13388505584257899e+01,1.84990014101624789e+00,3.61994864266481855e+01,4.13388505584257899e+01
3.25000000000000000e+02,3.30000000000000000e+02,3.81929234710326142e+01,1.80412140795577502e+00,3.33059265128789264e+01,3.81929234710326142e+01
3.30000000000000000e+02,3.35000000000000000e+02,3.96921236023760713e+01,1.39774815730619739e+00,3.70953894573212963e+01,3.96921236023760713e+01
3.35000000000000000e+02,3.40000000000000000e+02,3.23654741683288165e+01,1.50409796890269476e+00,2.82223221734946712e+01,3.23654741683288165e+01
3.40000000000000000e+02,3.45000000000000000e+02,3.02791151558797509e+01,1.42524460107113993e+00,2.66853356900031677e+01,3.02791151558797509e+01
3.45000000000000000e+02,3.50000000000000000e+02,2.52434489727971929e+01,1.57449323394559415e+00,1.97298023580136608e+01,2.53318820751397880e+01
3.50000000000000000e+02,3.55000000000000000e+02,2.55740016925996159e+01,1.43632163633536014e+00,2.22552900861577641e+01,2.55740016925996159e+01
3.55000000000000000e+02,3.60000000000000000e+02,2.01590839256592460e+01,1.75499459496799570e+00,1.42215351576722533e+01,2.08688273903547170e+01
3.60000000000000000e+02,3.65000000000000000e+02,2.35450229343756270e+01,1.16866457241132826e+00,2.05089735735271290e+01,2.35450229343756270e+01
3.65000000000000000e+02,3.70000000000000000e+02,1.89550232633519755e+01,1.22580929674790018e+00,1.49842818443211847e+01,1.89550232633519755e+01
3.70000000000000000e+02,3.75000000000000000e+02,1.64710428369093016e+01,1.15824345614137481e+00,1.23322630623738334e+01,1.67185429949381152e+01
3.75000000000000000e+02,3.80000000000000000e+02,1.66244807261214333e+01,1.08049104278975960e+00,1.28888962543202119e+01,1.66638384458032860e+01
3.80000000000000000e+02,3.85000000000000000e+02,1.35919899253548486e+01,9.57254294565280661e-01,9.66948498000496315e+00,1.40035338821909647e+01
3.85000000000000000e+02,3.90000000000000000e+02,1.23995705782713284e+01,1.05774036681750494e+00,8.44073237923810105e+00,1.29305104704065297e+01
3.90000000000000000e+02,3.95000000000000000e+02,1.13355005763427599e+01,1.20937450852428663e+00,7.11775020881965403e+00,1.20540768232249640e+01
3.95000000000000000e+02,4.00000000000000000e+02,1.07197502318089981e+01,1.13204881820380887e+00,6.83154695741680307e+00,1.13618088637798955e+01
4.00000000000000000e+02,4.05000000000000000e+02,1.02114019447178350e+01,7.36317804609767590e-01,7.10198222250323496e+00,1.05624095689721642e+01
4.05000000000000000e+02,4.10000000000000000e+02,8.78299180384669853e+00,8.11064690471437921e-01,5.07831809523871769e+00,9.51647984199144226e+00
4.10000000000000000e+02,4.15000000000000000e+02,8.46007417687712149e+00,1.04600763116194817e+00,4.95112829877228933e+00,9.13728153899931606e+00
4.15000000000000000e+02,4.20000000000000000e+02,8.29410137101655920e+00,8.77686037330113855e-01,5.22729648574311234e+00,8.78619008765867981e+00
4.20000000000000000e+02,4.25000000000000000e+02,7.63984268365369878e+00,7.38942482814619606e-01,5.03266542835549835e+00,8.01181660919272964e+00
4.25000000000000000e+02,4.30000000000000000e+02,7.14634186807393057e+00,6.73603301909355134e-01,4.64634211730520974e+00,7.50652910054131528e+00
4.30000000000000000e+02,4.35000000000000000e+02,6.09336151696140327e+00,7.92428481832395559e-01,3.46117318460464052e+00,6.61064576933129011e+00
4.35000000000000000e+02,4.40000000000000000e+02,6.53567229092813484e+00,4.77980732808429620e-01,4.41833828898322079e+00,6.79086619577588024e+00
4.40000000000000000e+02,4.45000000000000000e+02,5.55746532086364020e+00,7.05527146433646224e-01,3.27984201873114234e+00,5.97407527269366589e+00
4.45000000000000000e+02,4.50000000000000000e+02,5.34896839611906216e+00,4.01145820246031681e-01,3.33494589476663794e+00,5.67145639283233916e+00
4.50000000000000000e+02,4.55000000000000000e+02,5.26660105818974245e+00,3.86776853833496914e-01,3.52199835349558299e+00,5.48040127823308865e+00
4.55000000000000000e+02,4.60000000000000000e+02,3.47686189121140998e+00,6.36636535310194929e-01,9.75512934509988661e-01,4.17722349168202012e+00
4.60000000000000000e+02,4.65000000000000000e+02,3.23475832585536738e+00,6.66802399114314936e-01,8.26440115852257406e-01,3.91987470026527340e+00
4.65000000000000000e+02,4.70000000000000000e+02,3.35598846052830924e+00,7.37755260664259782e-01,1.29559072536406550e+00,3.88746888484777164e+00
4.70000000000000000e+02,4.75000000000000000e+02,3.68748912160703757e+00,3.77865790246135869e-01,2.15161465308001887e+00,3.95777658701464663e+00
4.75000000000000000e+02,4.80000000000000000e+02,3.16271427400532490e+00,3.71943286941860296e-01,1.40927998211670680e+00,3.57501490237025754e+00
4.80000000000000000e+02,4.85000000000000000e+02,1.03104023609837858e+00,7.76121012650229591e-01,-1.73809997416297346e+00,2.07588121349802712e+00
4.85000000000000000e+02,4.90000000000000000e+02,2.14370690425261978e+00,5.46367292265554250e-01,4.70491756661557403e-02,2.78850670502387299e+00
4.90000000000000000e+02,4.95000000000000000e+02,3.00224193444326737e+00,2.50299748832110203e-01,1.78491207876009517e+00,3.20658415930180940e+00
4.95000000000000000e+02,5.00000000000000000e+02,2.00923861508249901e+00,4.15506806194560097e-01,4.15911777905472846e-01,2.46342014803245757e+00
